Country,Purchasing Power,Purchasing Power Category,Safety,Safety Category,Health Care,Health Care Category,Climate,Climate Category,Cost of Living,Cost of Living Category,Property Price to Income,Property Price to Income Category,Traffic Commute Time,Traffic Commute Time Category,Pollution,Pollution Category,Quality of Life,Quality of Life Category
Albania,42.82,Low,55.52,Moderate,48.21,Moderate,86.43,Very High,40.85,Low,14.88,High,36.74,Moderate,77.25,High,104.16,Low
Algeria,27.6,Very Low,47.54,Moderate,54.43,Moderate,94.82,Very High,25.31,Very Low,21.7,Very High,45.09,High,63.87,High,98.83,Very Low
Argentina,40.36,Low,36.36,Low,68.0,High,98.28,Very High,32.65,Very Low,20.05,Very High,44.07,High,50.81,Moderate,115.06,Low
Armenia,36.91,Very Low,77.81,High,58.07,Moderate,63.42,High,41.84,Low,20.95,Very High,29.31,Low,62.55,High,116.56,Low
Australia,137.58,Very High,52.71,Moderate,73.35,High,93.8,Very High,64.5,Moderate,8.25,Moderate,37.48,Moderate,26.8,Low,190.69,Very High
Austria,109.08,High,70.38,High,77.83,High,77.4,High,62.22,Moderate,11.76,Moderate,23.77,Very Low,20.73,Low,192.07,Very High
Azerbaijan,41.75,Low,68.12,High,48.31,Moderate,91.4,Very High,30.26,Very Low,15.24,High,40.63,Moderate,72.69,High,113.51,Low
Bahrain,114.56,Very High,75.28,High,66.6,High,64.31,High,48.79,Low,4.9,Very Low,30.74,Low,71.57,High,158.68,High
Bangladesh,36.16,Very Low,38.79,Low,42.2,Moderate,71.29,High,20.76,Very Low,12.26,High,57.57,Very High,85.31,Very High,74.51,Very Low
Belarus,56.24,Low,49.99,Moderate,48.5,Moderate,64.37,High,25.11,Very Low,12.79,High,31.2,Low,44.94,Moderate,127.48,Moderate
Belgium,118.62,Very High,50.42,Moderate,75.76,High,86.03,Very High,57.41,Low,6.82,Low,35.19,Moderate,49.45,Moderate,168.52,Very High
Bosnia And Herzegovina,63.66,Moderate,58.3,Moderate,55.62,Moderate,80.48,Very High,32.01,Very Low,13.12,High,26.15,Very Low,59.68,Moderate,134.51,Moderate
Botswana,64.6,Moderate,47.3,Moderate,61.12,High,88.87,Very High,40.05,Low,29.07,Very High,28.53,Low,46.09,Moderate,36.55,Very Low
Brazil,42.13,Low,35.36,Low,59.21,Moderate,94.31,Very High,27.14,Very Low,15.4,High,40.63,Moderate,52.84,Moderate,115.99,Low
Bulgaria,77.66,Moderate,63.73,High,58.15,Moderate,82.76,Very High,35.86,Very Low,9.22,Moderate,29.05,Low,62.94,High,144.49,Moderate
Cambodia,26.95,Very Low,48.19,Moderate,50.71,Moderate,59.43,Moderate,34.38,Very Low,26.77,Very High,28.0,Low,77.77,High,78.92,Very Low
Canada,111.31,Very High,54.34,Moderate,68.82,High,55.41,Moderate,60.55,Moderate,10.47,Moderate,33.53,Low,29.8,Low,164.54,Very High
Chile,51.47,Low,39.55,Low,63.52,High,90.21,Very High,36.29,Very Low,16.03,Very High,36.04,Moderate,77.51,High,106.49,Low
China,78.42,Moderate,75.82,High,68.53,High,79.61,High,31.23,Very Low,28.6,Very High,38.9,Moderate,77.3,High,120.52,Moderate
Colombia,36.19,Very Low,39.14,Low,68.44,High,96.69,Very High,25.48,Very Low,17.98,Very High,47.15,High,62.47,High,107.9,Low
Costa Rica,50.9,Low,46.04,Moderate,64.29,High,99.48,Very High,50.18,Low,9.63,Moderate,59.99,Very High,42.39,Moderate,129.35,Moderate
Croatia,83.85,Moderate,74.54,High,64.66,High,89.23,Very High,43.23,Low,12.45,High,25.79,Very Low,31.1,Low,176.02,Very High
Cyprus,84.66,Moderate,66.9,High,57.13,Moderate,90.87,Very High,50.99,Low,8.06,Moderate,23.59,Very Low,54.99,Moderate,158.84,High
Czech Republic,90.3,High,73.64,High,75.47,High,79.1,High,43.65,Low,13.17,High,29.12,Low,34.78,Low,174.21,Very High
Denmark,134.75,Very High,73.81,High,78.5,High,82.47,Very High,68.9,Moderate,6.36,Low,27.93,Low,20.75,Low,208.65,Very High
Dominican Republic,31.82,Very Low,39.4,Low,58.26,Moderate,67.82,High,34.75,Very Low,16.89,Very High,40.69,Moderate,72.8,High,89.09,Very Low
Ecuador,45.93,Low,37.57,Low,75.39,High,94.51,Very High,30.28,Very Low,12.0,High,37.68,Moderate,59.05,Moderate,125.58,Moderate
Egypt,21.15,Very Low,52.64,Moderate,47.32,Moderate,91.98,Very High,19.46,Very Low,17.85,Very High,48.1,High,82.67,Very High,85.41,Very Low
El Salvador,33.72,Very Low,40.58,Moderate,51.67,Moderate,86.6,Very High,38.13,Very Low,16.0,Very High,40.39,Moderate,75.37,High,93.05,Very Low
Estonia,83.91,Moderate,76.37,High,75.93,High,64.28,High,50.4,Low,11.27,Moderate,21.57,Very Low,17.02,Very Low,185.1,Very High
Ethiopia,13.59,Very Low,49.1,Moderate,53.46,Moderate,96.82,Very High,43.89,Low,28.88,Very High,63.36,Very High,73.24,High,48.88,Very Low
Fiji,57.77,Low,43.44,Moderate,48.18,Moderate,71.89,High,33.42,Very Low,6.51,Low,40.93,Moderate,53.44,Moderate,122.12,Moderate
Finland,126.13,Very High,73.57,High,77.57,High,58.87,Moderate,60.04,Moderate,8.16,Moderate,25.56,Very Low,11.83,Very Low,203.06,Very High
France,111.7,Very High,44.56,Moderate,77.78,High,89.71,Very High,59.48,Low,10.55,Moderate,34.72,Low,43.56,Moderate,165.08,Very High
Georgia,40.6,Low,73.9,High,56.34,Moderate,88.53,Very High,32.0,Very Low,12.21,High,38.63,Moderate,67.54,High,125.48,Moderate
Germany,130.01,Very High,60.77,High,71.97,High,83.3,Very High,59.56,Low,9.12,Moderate,29.82,Low,28.81,Low,189.75,Very High
Ghana,17.4,Very Low,54.65,Moderate,57.38,Moderate,67.03,High,30.49,Very Low,28.98,Very High,39.67,Moderate,86.91,Very High,17.47,Very Low
Greece,59.69,Low,53.44,Moderate,58.2,Moderate,91.79,Very High,47.78,Low,12.72,High,33.53,Low,50.07,Moderate,136.83,Moderate
Guatemala,40.26,Low,41.92,Moderate,67.33,High,99.89,Very High,36.67,Very Low,11.44,Moderate,50.58,High,73.47,High,107.92,Low
Hong Kong (China),108.13,High,78.49,High,66.06,High,83.64,Very High,74.59,High,28.59,Very High,41.81,High,66.86,High,134.04,Moderate
Hungary,70.34,Moderate,66.28,High,54.07,Moderate,78.74,High,37.72,Very Low,13.22,High,35.68,Moderate,46.57,Moderate,143.26,Moderate
Iceland,126.81,Very High,74.26,High,67.63,High,68.81,High,81.71,High,6.39,Low,21.35,Very Low,15.84,Very Low,202.04,Very High
India,86.09,High,55.67,Moderate,65.43,High,64.1,High,19.93,Very Low,11.26,Moderate,46.54,High,72.89,High,124.7,Moderate
Indonesia,33.47,Very Low,54.11,Moderate,60.84,High,63.76,High,25.31,Very Low,16.65,Very High,43.11,High,67.99,High,99.98,Very Low
Iran,29.9,Very Low,49.67,Moderate,52.62,Moderate,70.99,High,24.03,Very Low,20.05,Very High,46.92,High,75.24,High,85.42,Very Low
Iraq,55.15,Low,57.47,Moderate,45.9,Moderate,46.98,Moderate,26.81,Very Low,8.17,Moderate,37.05,Moderate,71.53,High,107.76,Low
Ireland,112.53,Very High,52.53,Moderate,51.38,Moderate,87.83,Very High,60.85,Moderate,6.58,Low,37.76,Moderate,34.79,Low,166.37,Very High
Israel,108.83,High,68.25,High,73.34,High,93.78,Very High,63.19,Moderate,13.98,High,36.61,Moderate,56.84,Moderate,161.76,Very High
Italy,87.2,High,53.03,Moderate,65.13,High,90.78,Very High,52.12,Low,9.47,Moderate,32.36,Low,53.67,Moderate,151.06,High
Jamaica,36.87,Very Low,32.61,Low,51.52,Moderate,71.58,High,49.56,Low,20.19,Very High,44.5,High,66.31,High,83.92,Very Low
